date,game_title,platform,genre,downloads,revenue_gbp,avg_rating,active_users
2025-01-05,Street Striker,Android,Sports,1240,3720,4.5,860
2025-01-05,Castle Siege,iOS,Strategy,980,4210,4.6,740
2025-01-06,Pixel Racers,Android,Racing,1520,3890,4.2,1010
2025-01-06,Mystic Quest,iOS,RPG,870,4560,4.7,620
2025-01-07,Street Striker,iOS,Sports,910,2890,4.4,650
2025-01-07,Galaxy Defenders,Android,Action,1760,5020,4.3,1220
2025-01-08,Castle Siege,Android,Strategy,1110,3900,4.6,820
2025-01-08,Pixel Racers,iOS,Racing,990,3310,4.1,710
2025-01-09,Mystic Quest,Android,RPG,1200,5150,4.8,880
2025-01-09,Galaxy Defenders,iOS,Action,1340,4680,4.4,950
2025-01-10,Street Striker,Android,Sports,1480,4360,4.5,1040
2025-01-10,Castle Siege,iOS,Strategy,1020,4470,4.6,790
2025-01-11,Pixel Racers,Android,Racing,1650,4200,4.2,1180
2025-01-11,Mystic Quest,iOS,RPG,940,4720,4.7,690
2025-01-12,Galaxy Defenders,Android,Action,1820,5410,4.3,1320
2025-01-12,Street Striker,iOS,Sports,980,3020,4.4,720
2025-01-13,Castle Siege,Android,Strategy,1150,4010,4.6,850
2025-01-13,Pixel Racers,iOS,Racing,1040,3520,4.1,760
2025-01-14,Mystic Quest,Android,RPG,1290,5330,4.8,910
2025-01-14,Galaxy Defenders,iOS,Action,1400,4890,4.4,980